Date,CAC Index,AC FP Equity,AF FP Equity,AI FP Equity,ALU FP Equity,ALO FP Equity,MT NA Equity,CS FP Equity,BNP FP Equity,EN FP Equity,CAP FP Equity,CA FP Equity,ACA FP Equity,BN FP Equity,DEXB BB Equity,EAD FP Equity,EDF FP Equity,EI FP Equity,FTE FP Equity,GSZ FP Equity,OR FP Equity,LG FP Equity,MMB FP Equity,MC FP Equity,ML FP Equity,RI FP Equity,UG FP Equity,PP FP Equity,RNO FP Equity,SGO FP Equity,SAN FP Equity,SU FP Equity,GLE FP Equity,STM FP Equity,SEV FP Equity,FP FP Equity,UL FP Equity,VK FP Equity,VIE FP Equity,DG FP Equity,VIV FP Equity,TEC FP Equity
2001-01-01,5926.42,42.5543,25.0,53.0595,60.5,252.0446,2.66,36.3725,45.0835,41.4041,171.8,66.9,,37.886,19.26,23.66,,17.375,78.3306,,91.3,72.2136,59.8064,70.5,38.55,22.6544,40.3833,228.9,55.5,37.9979,71.0,75.032,58.3416,46.5,,39.0814,43.7867,11.043,45.2226,16.077,70.1,37.2426
2001-01-02,5798.9,40.6441,25.6,51.4233,57.5,243.4292,2.75,36.7977,44.9389,41.0608,168.5,67.45,,37.8152,19.28,23.49,,17.195,74.3267,,88.8,72.3754,57.8226,69.6,37.7,22.5619,40.05,226.1,55.4,37.3847,69.2,73.5835,57.8569,42.59,,39.0814,43.6061,10.8684,45.2226,16.482,68.0,35.6527
2001-01-03,5684.05,41.0413,24.0,51.056,54.5,247.4619,2.84,36.2781,44.0709,40.2027,158.0,68.85,,37.3906,19.41,23.19,,16.6,73.6878,,84.8,72.2136,57.0484,68.5,37.1,22.685200000000002,39.6667,228.0,54.2,36.5897,68.25,72.811,57.2841,40.1,,38.7113,43.8642,10.5093,45.2226,16.077,67.5,36.8572
2001-01-04,5815.99,43.2919,25.2,52.4251,62.3,244.7124,3.2,36.2072,45.6139,45.9092,166.0,69.35,,35.3382,18.6,23.2,,17.375,78.8417,,84.2,74.397,57.5806,68.5,38.1,23.4249,41.3,222.0,55.3,37.9525,64.5,72.4247,61.6905,45.2,,37.9218,43.6061,10.5772,40.9435,15.4634,70.6,34.8818
2001-01-05,5758.02,44.0674,24.0,52.759,61.65,241.8711,3.1,34.9082,46.1202,46.3383,166.9,66.05,,34.1587,18.3,21.9,,17.425,79.1825,,81.3,73.9927,61.0161,66.05,38.6,22.8085,43.3333,219.9,55.5,39.2925,62.4,71.0245,61.6905,44.25,,37.9958,43.89,10.4802,41.5756,16.2979,70.7,35.8936
2001-01-08,5732.8,44.5402,22.98,53.3934,61.45,229.1314,3.1,34.5067,45.8068,43.7639,166.9,65.05,,35.3618,18.13,22.8,,16.815,77.3083,,80.4,79.249,58.5968,65.0,38.5,22.8085,43.7333,226.5,53.3,39.1789,61.9,73.8732,63.2769,43.4,,38.4646,44.0964,10.6258,42.694,15.7947,70.1,36.5922
2001-01-09,5663.19,44.6537,22.95,54.0947,61.3,233.2558,3.39,34.1288,45.855,42.2107,170.0,62.5,,34.4182,18.52,22.0,,16.54,73.5174,,80.8,81.9176,59.8064,64.65,39.7,22.5002,43.6667,229.0,52.4,37.4074,59.8,74.7423,62.2634,43.15,,37.7491,44.406,10.6549,42.305,15.2179,70.0,36.3754
2001-01-10,5653.35,43.0177,22.66,52.759,61.25,238.48,3.5,33.8926,46.3854,44.0213,179.0,63.1,,34.5598,18.5,22.38,,16.255,74.0712,,80.5,80.5833,63.4839,62.75,40.9,22.5619,43.8167,228.6,52.7,37.4755,59.8,72.3282,61.6905,42.5,,36.9102,44.6124,10.4802,42.4995,15.2179,69.3,35.8936
2001-01-11,5702.78,42.8853,22.5,52.592,62.6,236.6469,3.74,34.2469,47.7355,43.5494,180.4,65.2,,34.6305,18.45,22.65,,16.25,73.2619,,80.5,79.2894,62.6613,64.1,40.8,22.8085,43.65,231.5,53.1,36.3399,58.6,71.1694,63.5413,43.35,,37.8231,45.0769,10.0824,41.6729,15.1074,69.15,36.2549
2001-01-12,5834.34,44.5118,22.4,50.8223,67.45,234.6306,3.7,33.7745,48.6516,45.9092,192.5,62.55,,33.6869,18.35,22.25,,15.8,80.9288,,82.4,79.6533,64.6452,67.5,41.0,22.716,42.75,233.0,52.35,36.2717,56.05,73.3904,64.731,46.85,,38.2919,44.9737,10.2861,39.9223,14.9725,73.0,35.4359
