Date,CAC 40,Accor SA,Air Liquide,Alcatel-Lucent,Alstom,Arcelor Mittal,AXA SA,BNP Paribas,Bouygues,Cap Gemini SA,Carrefour SA,Groupe Danone,Dexia SA,EADS,Essilor International SA,France Telecom SA,L'Oreal SA,Lafarge SA,Lagardere SCA,LVMH Moet Hennessy Louis Vuitton SA,Michelin,Pernod-Ricard SA,Peugeot SA,PPR,Renault SA,Cie de Saint-Gobain,Sanofi-Aventis SA,Schneider Electric SA,Societe Generale,STMicroelectronics NV,Total SA,Unibail-Rodamco,Vallourec,Veolia Environnement,Vinci SA,Vivendi,Tecnip
2001-01-02,5798.9,40.6441,51.4233,57.5,243.4292,2.75,37.6608,46.2384,41.0608,168.5,67.45,40.075,19.28,23.49,17.195,74.3267,88.8,83.3073,57.8226,69.6,37.7,24.4,40.05,226.1,55.4,37.3847,69.2,73.5835,61.0437,42.59,39.0814,44.4303,10.8684,45.2226,16.482,68.0,35.6527
2001-01-03,5684.05,41.0413,51.056,54.5,247.4619,2.84,37.129,45.3454,40.2027,158.0,68.85,39.625,19.41,23.19,16.6,73.6878,84.8,83.1211,57.0484,68.5,37.1,24.5333,39.6667,228.0,54.2,36.5897,68.25,72.811,60.4393,40.1,38.7113,44.6932,10.5093,45.2226,16.077,67.5,36.8572
2001-01-04,5815.99,43.2919,52.4251,62.3,244.7124,3.2,37.0565,46.933,45.9092,166.0,69.35,37.45,18.6,23.2,17.375,78.8417,84.2,85.6343,57.5806,68.5,38.1,25.3333,41.3,222.0,55.3,37.9525,64.5,72.4247,65.0885,45.2,37.9218,44.4303,10.5772,40.9435,15.4634,70.6,34.8818
2001-01-05,5758.02,44.0674,52.759,61.65,241.8711,3.1,35.727,47.4539,46.3383,166.9,66.05,36.2,18.3,21.9,17.425,79.1825,81.3,85.1689,61.0161,66.05,38.6,24.6667,43.3333,219.9,55.5,39.2925,62.4,71.0245,65.0885,44.25,37.9958,44.7195,10.4802,41.5756,16.2979,70.7,35.8936
2001-01-08,5732.8,44.5402,53.3934,61.45,229.1314,3.1,35.3161,47.1314,43.7639,166.9,65.05,37.475,18.13,22.8,16.815,77.3083,80.4,91.2191,58.5968,65.0,38.5,24.6667,43.7333,226.5,53.3,39.1789,61.9,73.8732,66.7622,43.4,38.4646,44.9298,10.6258,42.694,15.7947,70.1,36.5922
2001-01-09,5663.19,44.6537,54.0947,61.3,233.2558,3.39,34.9293,47.181,42.2107,170.0,62.5,36.475,18.52,22.0,16.54,73.5174,80.8,94.2908,59.8064,64.65,39.7,24.3333,43.6667,229.0,52.4,37.4074,59.8,74.7423,65.6929,43.15,37.7491,45.2453,10.6549,42.305,15.2179,70.0,36.3754
2001-01-10,5653.35,43.0177,52.759,61.25,238.48,3.5,34.6876,47.7267,44.0213,179.0,63.1,36.625,18.5,22.38,16.255,74.0712,80.5,92.755,63.4839,62.75,40.9,24.4,43.8167,228.6,52.7,37.4755,59.8,72.3282,65.0885,42.5,36.9102,45.4556,10.4802,42.4995,15.2179,69.3,35.8936
2001-01-11,5702.78,42.8853,52.592,62.6,236.6469,3.74,35.0502,49.1159,43.5494,180.4,65.2,36.7,18.45,22.65,16.25,73.2619,80.5,91.2657,62.6613,64.1,40.8,24.6667,43.65,231.5,53.1,36.3399,58.6,71.1694,67.0411,43.35,37.8231,45.9288,10.0824,41.6729,15.1074,69.15,36.2549
2001-01-12,5834.34,44.5118,50.8223,67.45,234.6306,3.7,34.5667,50.0585,45.9092,192.5,62.55,35.7,18.35,22.25,15.8,80.9288,82.4,91.6845,64.6452,67.5,41.0,24.5667,42.75,233.0,52.35,36.2717,56.05,73.3904,68.2964,46.85,38.2919,45.8237,10.2861,39.9223,14.9725,73.0,35.4359
2001-01-15,5833.38,44.9184,51.0894,68.8,231.881,3.69,34.5667,49.8601,46.1237,192.5,60.5,35.65,18.04,22.3,16.125,78.6287,79.55,91.9638,64.4032,67.65,40.51,24.6667,44.35,230.9,52.4,36.2036,57.2,73.3904,67.599,45.43,39.0568,45.8762,10.6646,40.749,15.4388,74.2,35.6768
2001-01-16,5761.67,45.5804,49.9875,67.75,230.048,3.86,34.7117,49.5128,45.3085,186.7,60.0,36.25,17.9,22.6,16.165,76.4564,77.8,94.0116,64.1613,68.25,40.35,24.4167,43.0,227.9,52.0,36.8168,57.4,64.6994,65.1815,44.01,38.0699,46.7438,10.5578,39.436,15.537,73.9,36.1345
2001-01-17,5884.09,45.6088,51.0226,69.8,234.6306,4.25,35.2435,49.7608,46.9389,196.0,60.1,35.6,18.08,23.21,16.125,79.0121,80.5,94.8493,65.8064,71.85,41.0,24.9667,43.3333,228.9,51.95,36.6351,59.3,66.8239,68.2964,48.59,37.1816,46.4809,10.3249,39.9709,15.7088,77.2,35.8936
2001-01-18,5860.16,46.3369,49.5868,68.1,225.4653,4.25,34.6392,49.0911,46.9818,194.3,59.5,35.5,18.13,23.45,16.35,82.1215,79.7,94.0116,67.2581,72.3,40.6,25.0,44.5,229.3,53.9,37.0667,59.1,65.9065,67.3201,49.37,36.5402,45.7711,10.1891,39.0957,15.6843,76.4,35.1227
2001-01-19,5845.73,47.1407,49.9541,68.75,231.4227,4.14,34.0833,47.826,48.4835,200.9,58.2,34.2,17.81,23.0,16.32,80.9714,78.6,92.0569,68.6129,72.5,41.08,26.2833,46.6667,232.5,56.35,38.2704,57.25,65.6651,65.2745,50.3,36.1454,46.4546,9.995,38.0259,15.5861,77.75,34.3518
2001-01-22,5882.76,46.2424,50.0877,67.05,230.2313,3.9,34.4942,49.2647,48.3119,197.5,60.75,34.25,18.01,22.39,16.255,80.0769,81.4,92.9603,66.4839,71.7,41.26,25.4167,46.2333,230.7,57.05,38.2704,59.75,64.6994,65.8789,50.75,36.7375,45.7711,10.1697,39.8737,15.4634,78.75,32.0392
2001-01-23,5839.73,46.0532,49.8205,66.2,226.8401,3.31,34.6392,48.967,47.1106,186.3,60.5,36.025,18.55,23.05,15.88,77.4787,82.9,93.9113,65.1774,72.9,40.2,26.45,46.3333,232.0,55.9,38.1569,58.45,66.6308,63.4613,49.0,36.2688,46.0866,9.5603,41.1866,15.267,79.5,33.6291
2001-01-24,5900.32,46.6206,49.4198,67.15,232.3393,3.55,34.8568,48.8678,48.4835,186.0,60.0,36.825,18.58,23.78,16.325,81.6955,81.85,93.3883,65.9032,69.5,41.0,25.1333,45.35,226.0,56.25,38.225,57.1,68.2241,64.6701,50.0,37.305,46.5072,10.1891,40.4572,15.2179,81.1,32.8583
2001-01-25,5934.68,46.1951,48.8188,64.0,224.0905,3.58,35.6061,48.0492,50.1998,186.0,61.9,37.375,18.55,23.65,16.2,81.6103,80.95,92.7226,65.4194,71.5,41.25,26.2333,46.1167,222.6,56.8,39.6332,60.5,71.8453,64.4841,49.1,38.1932,46.1654,10.2473,41.3325,15.4634,81.35,33.9423
2001-01-26,5925.62,45.2021,48.1509,61.9,219.9662,3.65,35.7512,48.1733,49.3846,198.0,64.0,38.125,18.59,23.13,16.005,82.3344,81.45,93.626,66.1935,69.7,41.49,26.6667,46.4333,223.3,54.6,38.1569,61.75,72.0385,63.6937,48.45,38.588,46.5598,10.2861,41.3325,15.1688,80.0,34.0869
2001-01-29,5887.9,45.5331,47.817,60.45,224.5488,3.8,35.7753,47.9996,47.1106,200.0,63.15,38.25,18.33,23.0,16.1,81.6955,81.5,93.6736,65.7097,71.6,41.51,26.3333,45.1667,223.0,55.0,38.6111,59.5,72.9076,63.8797,48.2,38.5386,47.1119,10.0726,40.4086,15.0461,79.75,34.1832
2001-01-30,5917.15,45.3818,48.2845,59.1,232.7059,3.59,35.4369,49.0911,45.094,206.2,63.85,36.875,18.14,23.15,16.005,83.2715,82.1,93.6736,65.7581,71.45,41.9,25.7667,45.4833,224.1,55.65,38.6111,61.0,71.9419,66.4368,49.19,38.2672,46.7964,10.4802,41.3325,14.8497,81.3,34.6168
2001-01-31,5998.49,46.5261,48.7186,63.75,243.3376,3.6,35.727,49.3143,43.7639,209.0,66.85,35.5,17.85,23.0,16.75,84.5919,83.0,94.5295,66.2903,70.3,41.0,26.3333,45.6667,225.1,54.3,39.6559,61.9,71.8453,67.2736,51.3,39.1061,47.0593,10.7228,41.4686,14.6043,81.25,36.014
2001-02-01,5899.72,43.5378,47.7836,63.2,237.8384,3.78,35.4853,48.5205,43.9355,198.5,66.3,35.25,17.99,23.24,16.55,82.4196,80.0,97.4776,66.0484,70.0,41.4,26.3333,45.6667,229.0,55.25,40.201,60.0,69.5278,64.8095,49.99,38.1439,47.1907,10.6937,41.8187,14.6043,79.5,35.6527
2001-02-02,5826.37,43.708,48.0841,61.6,242.8793,4.18,34.7117,48.3717,44.7507,197.0,65.1,35.0,17.88,23.31,16.25,78.8843,79.05,98.5237,65.6613,68.3,41.0,25.3,46.1667,226.6,54.6,39.724,58.95,68.7552,64.2516,48.53,38.6127,46.9541,10.8684,41.3811,15.4756,78.75,36.1104
2001-02-05,5823.49,44.3511,47.9172,60.2,241.5045,4.35,34.2041,47.7764,43.9784,192.2,65.9,35.1,17.82,23.4,16.35,78.288,79.0,96.907,63.5806,68.3,41.3,24.7667,45.45,228.0,54.8,38.7474,61.0,68.5621,64.9955,46.85,39.8463,47.0856,10.6743,42.305,15.4634,78.0,36.5681
2001-02-06,5852.35,44.4456,47.7502,61.7,236.0054,4.36,34.7359,47.7019,44.4075,195.8,65.4,36.25,17.99,23.5,16.5,75.8175,81.2,98.5237,63.3871,68.2,41.05,25.9667,45.5,228.3,55.35,39.7695,61.85,67.8378,64.2516,48.1,39.8463,47.2959,11.0624,42.6454,15.3406,78.05,36.5681
2001-02-07,5752.14,44.9184,48.4181,59.2,236.0054,4.1,34.6876,47.6275,43.3778,189.0,64.6,36.875,18.18,23.15,16.155,70.7062,81.8,100.8061,59.7097,68.25,41.05,24.9667,46.0,227.5,55.85,39.9057,62.0,68.5138,64.0657,45.0,38.8841,47.2433,11.043,42.7913,15.2302,77.15,37.0981
2001-02-08,5773.46,45.2589,49.0191,57.95,240.7713,3.85,34.2766,47.6523,43.249,193.2,64.6,36.75,18.35,23.15,16.65,71.6859,81.9,100.1404,60.0,67.7,40.25,25.3333,45.4667,228.5,57.0,39.5196,63.2,70.7831,64.2052,44.5,39.1061,47.3222,11.0139,44.2501,15.4879,77.75,36.6885
2001-02-09,5712.36,43.9633,49.52,55.15,259.2851,3.84,33.8174,48.0988,41.61,189.4,65.0,36.575,18.14,22.81,16.15,70.7914,81.5,97.9531,60.5806,66.85,40.08,25.3333,44.9833,228.5,55.5,39.4742,63.0,69.3346,64.0657,42.05,39.2048,47.5325,10.7713,42.4022,15.3406,76.3,35.6527
2001-02-12,5759.48,44.3038,49.8539,56.2,259.5601,3.8,34.1558,48.1733,41.9104,193.9,66.75,37.0,18.19,23.0,15.66,71.5581,80.1,100.1404,61.9839,67.75,40.37,25.0,45.3333,231.5,55.7,39.2698,64.0,67.693,63.2288,43.67,39.5502,47.5851,10.7713,43.3942,15.267,76.2,36.7367
2001-02-13,5739.03,43.7364,50.0877,56.6,261.2098,3.92,33.8174,48.6198,40.9836,192.2,67.65,36.975,18.19,22.95,15.75,67.0431,81.1,100.2355,60.7258,67.3,40.5,25.3333,44.9833,230.4,53.5,38.6111,64.6,67.4033,63.3218,44.99,39.2295,47.5851,10.7519,43.8124,15.3161,76.95,37.1703
2001-02-14,5644.23,43.377,50.4216,52.45,264.4177,3.75,33.7207,48.074,37.3624,193.8,68.15,37.025,17.97,22.52,15.675,61.3355,82.05,102.3277,59.6613,66.3,41.05,25.3,46.15,227.0,56.85,38.4748,64.4,66.3411,62.299,42.7,39.5255,48.8996,10.3832,44.4446,15.6965,75.45,37.4835
2001-02-15,5704.53,43.0271,50.7221,56.5,269.0003,3.75,32.8021,47.5035,38.1862,205.4,68.5,37.125,17.83,22.5,16.25,62.1448,82.15,100.711,62.4194,69.85,41.9,24.6,45.6833,227.0,57.65,38.6565,63.3,65.9065,63.0429,46.02,39.4269,49.294,10.9654,44.6391,15.9788,76.2,37.4112
2001-02-16,5595.13,43.4054,51.1562,51.55,272.2081,3.61,33.2372,46.3376,36.0409,199.1,67.85,36.7,17.87,22.31,15.975,58.9929,84.4,102.5179,60.9677,67.0,42.5,24.25,46.5667,223.9,56.7,38.9518,63.1,67.017,61.7411,43.3,38.8841,50.2141,10.8684,44.8336,16.0033,72.25,37.9653
2001-02-19,5584.75,44.4551,51.1228,49.75,265.8841,3.66,33.5998,46.5361,36.0409,198.9,67.6,36.85,17.59,21.5,16.275,58.0132,84.0,103.6591,60.4839,68.0,42.18,24.6667,46.3333,222.2,57.0,38.9518,63.85,67.5481,62.4385,41.96,39.2788,50.2141,10.7228,44.7947,15.9052,72.8,37.7967
2001-02-20,5548.74,45.3913,50.455,48.55,269.0003,3.75,33.0922,46.4864,36.0409,197.1,66.1,37.45,17.44,21.88,15.855,58.6521,83.5,102.8032,59.9032,67.2,41.35,24.75,47.9167,220.2,56.4,38.6338,62.85,67.5481,63.9727,41.0,38.7113,50.3981,10.6743,45.3685,15.9052,71.8,37.5558
2001-02-21,5474.37,44.8239,49.5868,46.5,269.0003,3.47,32.2703,45.5686,34.9768,192.6,65.3,37.775,17.72,21.68,16.485,56.6928,81.75,100.3306,58.8387,66.35,42.34,24.5,50.3667,219.8,58.2,38.7474,63.5,67.5964,63.2288,39.46,38.4893,50.5822,10.8587,45.1253,16.0033,69.7,37.4112
2001-02-22,5452.48,43.8309,49.4532,46.0,272.6664,3.5,31.1342,43.9562,34.8052,190.8,65.7,37.1,17.72,22.32,16.6,57.7576,83.6,98.809,59.8548,66.35,42.89,24.7,51.45,223.1,60.1,38.1569,63.0,67.4999,61.3692,38.87,38.8594,50.9765,10.9654,44.2598,16.4206,69.5,37.8207
2001-02-23,5322.84,43.3108,49.7871,42.5,273.308,3.45,31.0375,43.5097,35.7405,187.4,64.35,37.15,17.98,22.25,16.5,54.5205,80.0,99.8551,59.5161,65.55,43.35,24.6667,52.0,219.3,58.4,38.2477,60.05,67.2584,60.1139,36.22,38.0699,50.2141,11.3536,44.6002,16.3715,68.85,36.9776
2001-02-26,5415.1,43.2636,49.8539,44.0,272.2081,3.6,31.7144,43.8074,36.53,188.5,63.0,38.0,17.85,22.75,16.29,57.2891,82.3,98.1433,60.9677,67.35,43.0,24.1667,51.5,226.0,57.8,37.4528,61.65,67.5964,60.4858,37.06,38.5633,50.4507,11.1789,45.3004,16.1997,70.15,37.4594
2001-02-27,5437.76,41.9869,49.4532,44.03,279.5403,3.65,32.3912,44.4772,36.6415,190.5,62.8,37.5,18.04,22.61,16.645,58.9929,81.9,99.2845,61.1129,68.0,41.21,25.0,50.0,224.5,57.6,38.5657,60.5,70.4934,61.1367,37.25,38.2426,50.477,11.1595,44.2501,16.077,70.1,38.1821
2001-02-28,5367.48,40.3699,49.6536,42.3,274.9577,3.65,33.1647,44.0555,36.3755,190.4,63.45,37.575,18.07,22.5,16.65,55.1168,81.5,100.8061,61.5484,66.75,41.5,25.0,49.1167,219.1,58.4,37.7026,59.0,68.5621,61.7876,34.2,37.8725,49.9512,11.1595,44.7266,16.077,68.6,37.2667
2001-03-01,5341.34,41.8451,51.1562,41.68,270.1918,3.7,33.3581,43.6586,36.2382,177.5,62.6,37.375,18.56,22.5,16.55,53.2001,84.0,103.1836,59.8064,65.1,40.6,26.0,51.3333,211.5,61.2,39.0881,57.5,67.693,61.4621,32.0,38.4646,49.0311,10.8684,44.9308,15.5493,67.0,38.9289
